filename,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,area_sum,class_1_perc,class_2_perc,class_3_perc,class_4_perc,class_5_perc,class_6_perc,class_7_perc,SG_all_perc,classifier,date
LULC_knn_Classified_6K_2018-05-20.tif,112274594,8394699,3122,145751,1208588,492380,37701,2619683,12901924,0.6506548170644937,0.00024197941330300813,0.011296842238413433,0.09367502087285587,0.0381633002953668,0.0029221223129201504,0.2030459178026471,0.01153882165171644,knn,2018-05-20
LULC_rf_Classified_6K_2018-05-20.tif,112274594,7853121,14341,115337,1491355,1225231,161568,2040971,12901924,0.6086782870523807,0.001111539643234606,0.008939519408113085,0.11559167454404475,0.09496498351718705,0.012522783423619609,0.1581912124114202,0.010051059051347691,rf,2018-05-20
LULC_svm_Classified_6K_2018-05-20.tif,112274594,9000468,15092,148713,1061358,942631,424483,1309179,12901924,0.6976066515350734,0.0011697480158773218,0.011526420400554212,0.08226354456901157,0.07306127365189874,0.032900751856854836,0.10147160997072995,0.012696168416431534,svm,2018-05-20
LULC_cart_Classified_6K_2018-05-23.tif,203030977,5375466,37234,152973,1594727,418654,639034,956967,9175055,0.5858783407837882,0.004058177307928944,0.016672706594129408,0.17381116516467748,0.04562959023133921,0.06964906477399863,0.1043009551441381,0.02073088390205835,cart,2018-05-23
LULC_cons_Classified_6K_2018-05-23.tif,203151881,6047957,25916,136775,1454887,88695,556871,863954,9175055,0.6591739232080898,0.0028246152202902326,0.014907267585861883,0.1585698396358387,0.009666972023600949,0.06069402308760002,0.09416335923871846,0.017731882806152115,cons,2018-05-23
LULC_gbt_Classified_6K_2018-05-23.tif,203030977,5771151,19632,100486,1517500,129116,736638,900532,9175055,0.6290045127794874,0.002139714693808375,0.010952086935718641,0.16539410390455425,0.014072504197522522,0.08028703915126395,0.09815003833764484,0.013091801629527016,gbt,2018-05-23
LULC_knn_Classified_6K_2018-05-23.tif,203030977,6449540,11229,154328,1031247,149013,240426,1139272,9175055,0.7029429251377785,0.0012238618733075714,0.01682038963254171,0.1123968194196111,0.016241101551979796,0.026204311581783435,0.12417059080299792,0.018044251505849283,knn,2018-05-23
LULC_rf_Classified_6K_2018-05-23.tif,203030977,5984065,27894,142526,1436935,98314,613121,872200,9175055,0.6522102592300537,0.0030401997590205183,0.015534075817529159,0.15661323011142714,0.010715358109569915,0.06682477652722518,0.09506210044517445,0.018574275576549677,rf,2018-05-23
LULC_svm_Classified_6K_2018-05-23.tif,203030977,5054340,21117,148098,1933260,409530,555122,1053588,9175055,0.5508784416006226,0.0023015665846144793,0.016141374629361896,0.21070827368337303,0.044635154775638945,0.060503397527317274,0.11483179119907183,0.018442941213976376,svm,2018-05-23
LULC_cart_Classified_6K_2018-06-07.tif,200848469,5664577,25393,426817,1224222,1546578,556279,1913697,11357563,0.49874933557489404,0.0022357789254613862,0.03757998084624316,0.10778914455504231,0.13617164175096366,0.04897872897557337,0.1684953893718221,0.03981575977170455,cart,2018-06-07
LULC_cons_Classified_6K_2018-06-07.tif,200969373,7197967,21795,509851,987111,538992,375660,1726187,11357563,0.6337598127344748,0.0019189856133749819,0.04489088020026832,0.08691221875678788,0.04745665949640781,0.03307575753707023,0.15198568566161597,0.0468098658136433,cons,2018-06-07
LULC_gbt_Classified_6K_2018-06-07.tif,200848469,7003903,15310,445491,1007980,701646,402329,1780904,11357563,0.6166730486108684,0.0013480004469268627,0.039224171593853364,0.08874967279512339,0.06177786555091088,0.0354238845076184,0.15680335649469873,0.04057217204078023,gbt,2018-06-07
LULC_knn_Classified_6K_2018-06-07.tif,200848469,6869314,16116,710560,683242,437412,231681,2409238,11357563,0.6048228832188737,0.0014189663750929667,0.06256271701948737,0.06015744750876575,0.038512839418104045,0.020398830277234648,0.2121263161824416,0.06398168339458034,knn,2018-06-07
LULC_rf_Classified_6K_2018-06-07.tif,200848469,6791092,11947,475095,924286,823313,388684,1943146,11357563,0.5979356663044704,0.0010518981933007989,0.0418307166775126,0.08138066238329472,0.07249028686875873,0.034222482411059484,0.17108828716160324,0.0428826148708134,rf,2018-06-07
LULC_svm_Classified_6K_2018-06-07.tif,200848469,6800392,27158,924934,1264137,287035,397280,1656627,11357563,0.5987545039371562,0.002391181981557135,0.0814377168764109,0.11130354284629546,0.02527258708580353,0.03497933491542156,0.14586113235735518,0.08382889885796803,svm,2018-06-07
LULC_cart_Classified_6K_2018-07-02.tif,198248870,7838356,79683,523288,1426059,2139445,249484,1700847,13957162,0.5616009902299622,0.005709111924043011,0.03749243578314847,0.10217399497118397,0.15328653489871366,0.01787498060135721,0.12186195159159147,0.04320154770719148,cart,2018-07-02
LULC_cons_Classified_6K_2018-07-02.tif,198369774,9060792,79587,603070,1081937,1334951,213586,1583239,13957162,0.649185844514809,0.005702233734909719,0.043208640839735184,0.07751840954486305,0.0956463068924757,0.015302967752326726,0.11343559672088065,0.0489108745746449,cons,2018-07-02
LULC_gbt_Classified_6K_2018-07-02.tif,198248870,8426629,83711,584089,1134970,1613367,341867,1772529,13957162,0.6037494585217252,0.0059977092764274,0.04184869388203705,0.08131810750638274,0.11559420174387888,0.024494019629492013,0.12699780944005665,0.047846403158464446,gbt,2018-07-02
LULC_knn_Classified_6K_2018-07-02.tif,198248870,8875877,102278,799814,798128,899760,46539,2434766,13957162,0.6359370909358221,0.00732799404348821,0.057304916285989944,0.0571841180893365,0.06446582765178194,0.00333441712577385,0.1744456358678075,0.06463291032947815,knn,2018-07-02
LULC_rf_Classified_6K_2018-07-02.tif,198248870,8452174,75739,548740,1064933,1685315,308682,1821579,13957162,0.6055797016614123,0.0054265329871502534,0.039316015677112584,0.07630011029462866,0.12074911790806755,0.02211638727128051,0.13051213420034818,0.04474254866426284,rf,2018-07-02
LULC_svm_Classified_6K_2018-07-02.tif,198248870,9120923,88421,421817,1672520,1219313,400552,1033616,13957162,0.6534940985853714,0.006335170430779553,0.030222261517061994,0.11983238426264595,0.08736109819460432,0.02869867097623428,0.07405631603330247,0.03655743194784155,svm,2018-07-02
LULC_cart_Classified_6K_2018-07-17.tif,197191769,8309887,121287,644923,1422060,2271555,362492,1882059,15014263,0.5534661941115592,0.008078118786116908,0.04295402311788464,0.09471393967189731,0.15129314039590222,0.024143176391675035,0.12535140752496476,0.05103214190400155,cart,2018-07-17
LULC_cons_Classified_6K_2018-07-17.tif,197312673,9286494,132054,739177,1230077,1614849,192080,1819532,15014263,0.6185114780525691,0.008795236902404068,0.04923165392800166,0.08192723145984589,0.10755433017258323,0.012793168735621589,0.1211869007489745,0.05802689083040573,cons,2018-07-17
LULC_gbt_Classified_6K_2018-07-17.tif,197191769,8739722,128499,709309,1331048,1718909,266788,2119988,15014263,0.5820946389443158,0.00855846204372469,0.047242345495080246,0.08865223687636216,0.11448507329330784,0.01776897074468457,0.14119827260252468,0.05580080753880494,gbt,2018-07-17
LULC_knn_Classified_6K_2018-07-17.tif,197191769,9082204,165743,950288,787920,1413912,4489,2609707,15014263,0.6049050825871373,0.011039036681320955,0.06329235074675327,0.05247810032367223,0.09417125569200432,0.0002989823742930306,0.17381519159481887,0.07433138742807423,knn,2018-07-17
LULC_rf_Classified_6K_2018-07-17.tif,197191769,8906690,125033,694576,1227415,1929417,166627,1964505,15014263,0.5932152647119608,0.00832761488192927,0.04626107854911027,0.08174993338001339,0.12850560830058724,0.011097914030145869,0.13084258614625308,0.05458869343103954,rf,2018-07-17
LULC_svm_Classified_6K_2018-07-17.tif,197191769,9093278,217650,525785,1579419,2007497,386673,1203961,15014263,0.6056426479275073,0.01449621603138296,0.03501903490034776,0.10519457398608244,0.13370599675788283,0.025753711654045223,0.08018781874275148,0.04951525093173072,svm,2018-07-17
LULC_cart_Classified_6K_2018-08-03.tif,114158025,5488307,439764,1035072,1517558,1455550,323166,1773008,12032425,0.45612642505563095,0.03654824360010555,0.08602355717987023,0.12612237350326305,0.1209689651088621,0.02685792764135243,0.14735250791091573,0.12257180077997579,cart,2018-08-03
LULC_cons_Classified_6K_2018-08-03.tif,114225017,6533540,451083,1227920,1340556,810668,74251,1594407,12032425,0.5429944504121156,0.037488951728350685,0.10205091658580877,0.1114119556116078,0.06737361753761191,0.0061709090229110095,0.13250919910159423,0.13953986831415946,cons,2018-08-03
LULC_gbt_Classified_6K_2018-08-03.tif,114158025,6210018,454871,1044531,1394084,1004235,122759,1801927,12032425,0.5161069360498819,0.03780376773593021,0.0868096830023873,0.11586060166591522,0.08346073214667867,0.010202349069285702,0.14975593032992102,0.1246134507383175,gbt,2018-08-03
LULC_knn_Classified_6K_2018-08-03.tif,114158025,6626295,449109,1272678,702934,1063875,5427,1912107,12032425,0.5507032040507213,0.03732489502323929,0.10577069875773171,0.058419977685296186,0.08841733898195916,0.0004510312759065608,0.1589128542251458,0.143095593780971,knn,2018-08-03
LULC_rf_Classified_6K_2018-08-03.tif,114158025,6282999,446112,1082029,1435218,1079783,79044,1627240,12032425,0.5221722969393119,0.037075818049977456,0.08992609552937168,0.11927919766796802,0.08973943323976671,0.006569249340843596,0.13523790923276063,0.12700191357934915,rf,2018-08-03
