cm_1_1,cm_1_2,cm_1_3,cm_1_4,cm_1_5,cm_1_6,cm_1_7,cm_2_1,cm_2_2,cm_2_3,cm_2_4,cm_2_5,cm_2_6,cm_2_7,cm_3_1,cm_3_2,cm_3_3,cm_3_4,cm_3_5,cm_3_6,cm_3_7,cm_4_1,cm_4_2,cm_4_3,cm_4_4,cm_4_5,cm_4_6,cm_4_7,cm_5_1,cm_5_2,cm_5_3,cm_5_4,cm_5_5,cm_5_6,cm_5_7,cm_6_1,cm_6_2,cm_6_3,cm_6_4,cm_6_5,cm_6_6,cm_6_7,cm_7_1,cm_7_2,cm_7_3,cm_7_4,cm_7_5,cm_7_6,cm_7_7,filename,classifier,date
509,0,0,0,0,0,0,0,384,1,0,0,0,0,0,0,378,0,1,1,8,1,0,0,49,0,0,1,0,2,2,2,332,0,0,0,0,2,0,0,5,1,1,0,2,1,0,0,470,ConfusionMatrix_GBT_2018-08-03.csv,GBT,2018-08-03
506,0,0,0,0,0,3,0,374,10,0,1,0,0,3,11,356,0,6,0,12,3,0,0,45,2,0,1,25,18,21,0,259,0,15,0,0,4,0,0,0,4,2,0,3,1,2,0,466,ConfusionMatrix_KNN_2018-08-03.csv,KNN,2018-08-03
505,0,0,0,1,0,3,0,383,1,0,1,0,0,0,0,374,0,4,0,10,1,0,0,50,0,0,0,0,3,3,0,332,0,0,0,0,2,0,0,5,1,1,0,2,1,3,0,467,ConfusionMatrix_RF_2018-08-03.csv,RF,2018-08-03
487,0,11,1,4,0,6,0,380,0,0,5,0,0,0,22,330,0,16,1,19,1,0,0,49,0,0,1,21,14,86,1,205,0,11,0,0,3,0,0,5,0,33,0,29,0,0,1,411,ConfusionMatrix_SVM_2018-08-03.csv,SVM,2018-08-03
508,0,0,0,0,0,0,0,178,0,0,0,2,0,0,0,307,0,3,2,2,0,0,0,10,0,0,1,0,0,0,0,5,0,0,1,1,2,0,0,1,1,2,0,3,2,0,0,376,ConfusionMatrix_CART_2018-10-10.csv,CART,2018-10-10
334,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,323,0,1,0,10,1,0,0,336,0,0,19,0,0,0,0,2,0,0,23,90,145,0,0,49,12,3,0,52,0,0,0,275,ConfusionMatrix_Cons_2018-10-10.csv,Cons,2018-10-10
508,0,0,0,0,0,0,0,178,0,0,0,2,0,0,0,310,0,3,0,1,0,0,0,11,0,0,0,0,0,0,0,5,0,0,1,1,2,0,0,2,0,0,0,0,0,0,0,383,ConfusionMatrix_GBT_2018-10-10.csv,GBT,2018-10-10
508,0,0,0,0,0,0,0,177,2,0,0,0,1,0,8,300,0,0,0,6,0,0,0,9,0,0,2,0,0,5,0,0,0,0,0,1,5,0,0,0,0,1,0,1,0,0,0,381,ConfusionMatrix_KNN_2018-10-10.csv,KNN,2018-10-10
508,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,310,0,1,0,3,0,0,0,11,0,0,0,0,0,3,0,2,0,0,1,1,3,0,0,1,0,1,0,1,0,0,0,381,ConfusionMatrix_RF_2018-10-10.csv,RF,2018-10-10
506,0,0,0,0,0,2,0,177,1,0,0,2,0,0,4,303,0,2,0,5,0,0,0,11,0,0,0,0,0,1,0,4,0,0,0,0,1,0,1,4,0,5,0,4,0,0,0,374,ConfusionMatrix_SVM_2018-10-10.csv,SVM,2018-10-10
