cm_1_1,cm_1_2,cm_1_3,cm_1_4,cm_1_5,cm_1_6,cm_1_7,cm_2_1,cm_2_2,cm_2_3,cm_2_4,cm_2_5,cm_2_6,cm_2_7,cm_3_1,cm_3_2,cm_3_3,cm_3_4,cm_3_5,cm_3_6,cm_3_7,cm_4_1,cm_4_2,cm_4_3,cm_4_4,cm_4_5,cm_4_6,cm_4_7,cm_5_1,cm_5_2,cm_5_3,cm_5_4,cm_5_5,cm_5_6,cm_5_7,cm_6_1,cm_6_2,cm_6_3,cm_6_4,cm_6_5,cm_6_6,cm_6_7,cm_7_1,cm_7_2,cm_7_3,cm_7_4,cm_7_5,cm_7_6,cm_7_7,filename,classifier,date,accuracy,kappa,fscore
457,0,2,0,5,0,26,0,0,0,0,0,0,0,0,0,106,0,7,0,11,0,0,0,53,1,0,0,1,0,5,0,213,0,4,3,0,1,0,0,4,0,27,0,8,0,4,0,476,ConfusionMatrix_CART_2018-05-20.csv,CART,2018-05-20,0.9257425742574258,0.8957892453827412,0.759506826929586
368,0,0,0,0,0,7,0,77,0,0,0,0,0,0,3,209,0,17,0,9,5,0,0,377,4,0,0,0,0,2,0,159,0,1,84,54,95,15,62,43,27,1,0,0,0,0,0,377,ConfusionMatrix_Cons_2018-05-20.csv,Cons,2018-05-20,0.8066132264529058,0.7709107538641133,0.7550090386011643
474,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,113,0,4,0,7,0,0,0,53,1,0,0,1,0,3,0,214,0,5,4,0,1,0,0,3,0,6,0,3,0,1,0,505,ConfusionMatrix_GBT_2018-05-20.csv,GBT,2018-05-20,0.9632248939179632,0.9482458505106929,0.76618155021972
471,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,104,0,9,0,11,1,0,0,51,1,0,1,13,0,4,1,191,0,14,6,0,1,0,1,0,0,10,0,14,0,3,0,488,ConfusionMatrix_KNN_2018-05-20.csv,KNN,2018-05-20,0.9229137199434229,0.8911259674097013,0.6541064976379326
471,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,112,0,4,0,8,0,0,0,53,1,0,0,1,0,4,0,211,0,7,3,0,1,0,0,3,1,9,0,6,0,1,0,499,ConfusionMatrix_RF_2018-05-20.csv,RF,2018-05-20,0.954031117397454,0.9353196963523293,0.7599061869740965
462,0,1,1,2,3,21,0,0,0,0,0,0,0,0,0,75,0,15,0,34,2,0,0,50,0,1,1,11,0,24,0,178,0,10,2,0,1,0,0,5,0,107,0,3,0,5,0,400,ConfusionMatrix_SVM_2018-05-20.csv,SVM,2018-05-20,0.8274398868458275,0.755814183919305,0.6737068767656138
490,0,1,0,7,0,12,0,0,0,0,0,0,0,2,0,206,0,1,0,20,1,0,0,47,0,0,0,1,0,0,0,55,0,0,1,0,0,0,0,5,1,8,0,9,0,1,0,441,ConfusionMatrix_CART_2018-05-23.csv,CART,2018-05-23,0.9503437738731857,0.928140460759126,0.7968682137127285
364,0,0,0,0,0,1,0,36,66,0,0,1,4,0,5,275,5,1,10,67,10,0,0,357,0,0,3,0,0,0,0,42,0,0,35,84,36,18,0,199,19,2,0,0,0,0,0,360,ConfusionMatrix_Cons_2018-05-23.csv,Cons,2018-05-23,0.8165,0.7783076781353683,0.7823643219035666
501,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,222,0,0,0,7,1,0,0,47,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,5,2,5,0,1,0,0,0,453,ConfusionMatrix_GBT_2018-05-23.csv,GBT,2018-05-23,0.9809014514896868,0.9723192142294041,0.8235074554785481
487,0,0,0,2,0,21,0,0,0,0,0,0,0,2,0,195,0,1,0,31,4,0,0,43,0,1,0,7,0,0,0,48,0,1,1,0,0,2,0,2,2,7,0,3,0,2,0,447,ConfusionMatrix_KNN_2018-05-23.csv,KNN,2018-05-23,0.93353705118411,0.9029537482999458,0.715124718184642
499,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,223,0,1,0,5,1,0,0,47,0,0,0,0,0,0,0,56,0,0,0,0,0,1,0,4,2,5,0,1,0,1,0,452,ConfusionMatrix_RF_2018-05-23.csv,RF,2018-05-23,0.9786096256684492,0.9690262607483152,0.8042547957951424
490,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,190,0,1,0,38,2,0,0,46,0,0,0,1,0,0,0,55,0,0,0,0,0,0,0,7,0,31,0,6,0,3,0,419,ConfusionMatrix_SVM_2018-05-23.csv,SVM,2018-05-23,0.922077922077922,0.8865465780348097,0.8103482234814879
458,0,5,1,14,3,14,0,79,0,0,1,0,0,6,0,375,0,4,0,5,6,0,0,43,0,0,0,3,2,3,0,352,0,1,1,0,0,0,0,2,0,10,0,7,2,3,0,461,ConfusionMatrix_CART_2018-06-07.csv,CART,2018-06-07,0.9511015583019882,0.9371739771586928,0.885438766374831
277,0,0,0,0,0,1,0,244,0,0,38,13,10,1,0,279,0,7,1,3,1,0,0,286,0,0,0,0,0,1,0,275,0,0,35,31,51,32,11,112,23,2,0,1,0,0,0,265,ConfusionMatrix_Cons_2018-06-07.csv,Cons,2018-06-07,0.869,0.8472720425936122,0.8547352202417292
480,0,4,0,0,0,11,0,80,0,0,0,0,0,1,0,381,0,4,0,4,3,0,0,46,0,0,0,1,0,0,0,360,0,0,0,0,0,1,0,2,0,4,0,1,0,0,0,478,ConfusionMatrix_GBT_2018-06-07.csv,GBT,2018-06-07,0.9817302525523912,0.9764998547814777,0.9555019281878093
453,0,15,0,2,0,25,0,78,0,0,1,0,1,5,4,363,0,10,0,8,5,0,0,34,0,2,8,24,5,8,0,314,0,10,2,0,1,0,0,0,0,3,0,4,0,1,0,475,ConfusionMatrix_KNN_2018-06-07.csv,KNN,2018-06-07,0.922622246104245,0.9002185641785598,0.77899705606463
473,0,4,0,3,0,15,0,80,0,0,0,0,0,1,0,380,0,5,0,4,2,0,0,46,0,0,1,4,0,0,0,356,0,1,0,0,1,0,0,2,0,3,0,2,0,1,0,477,ConfusionMatrix_RF_2018-06-07.csv,RF,2018-06-07,0.9747447608812466,0.9675127314569778,0.9524307874307782
446,0,22,1,11,0,15,0,79,1,0,0,0,0,9,0,360,0,6,0,15,2,0,0,47,0,0,0,42,5,15,0,289,0,10,0,0,0,0,0,3,0,16,0,18,0,3,0,446,ConfusionMatrix_SVM_2018-06-07.csv,SVM,2018-06-07,0.8973670069854917,0.867900778508006,0.927454080990933
459,0,1,7,10,0,8,0,317,0,0,3,0,0,1,0,360,0,22,1,2,5,0,0,53,3,2,1,4,0,10,1,392,0,5,1,0,0,1,0,1,1,18,0,0,0,2,0,469,ConfusionMatrix_CART_2018-07-02.csv,CART,2018-07-02,0.9495370370370371,0.9374603549013295,0.8388740207932609
300,0,0,1,0,0,1,0,272,0,0,9,0,0,0,0,267,0,9,0,4,11,0,0,268,3,0,2,1,1,14,0,280,0,0,20,11,33,24,156,32,2,1,0,1,0,0,0,277,ConfusionMatrix_Cons_2018-07-02.csv,Cons,2018-07-02,0.848,0.8224431818181819,0.8092585761168695
477,0,1,3,0,0,4,0,320,0,0,0,0,0,1,0,380,0,4,0,1,4,0,0,55,2,0,3,0,0,6,0,402,0,4,0,0,0,0,1,3,0,2,0,1,0,0,0,486,ConfusionMatrix_GBT_2018-07-02.csv,GBT,2018-07-02,0.9828703703703704,0.9787612764281527,0.9556157780022748
461,0,0,6,1,0,17,0,319,0,0,1,0,0,7,15,350,0,6,0,8,12,0,0,48,0,1,3,22,44,54,0,276,0,16,2,0,0,0,1,1,0,8,0,8,0,1,0,472,ConfusionMatrix_KNN_2018-07-02.csv,KNN,2018-07-02,0.8921296296296296,0.866279384897924,0.7990049290787518
476,0,0,3,1,0,5,0,319,0,0,1,0,0,3,0,373,0,9,0,1,4,0,0,57,2,0,1,3,1,8,0,399,0,1,0,0,0,0,1,3,0,3,0,2,0,1,0,483,ConfusionMatrix_RF_2018-07-02.csv,RF,2018-07-02,0.9768518518518519,0.9713046652768914,0.9532417763994895
451,0,2,6,3,1,22,0,311,8,0,1,0,0,1,0,222,0,152,0,11,4,0,0,60,0,0,0,22,4,31,0,334,1,20,0,0,0,0,0,4,0,22,0,12,0,13,0,442,ConfusionMatrix_SVM_2018-07-02.csv,SVM,2018-07-02,0.8444444444444444,0.8071126672409135,0.8454969546147677
501,0,0,0,9,1,18,0,328,0,0,9,0,0,0,0,355,0,43,1,7,1,0,0,59,0,2,1,8,12,27,0,356,2,6,0,0,1,1,0,4,0,7,0,5,0,8,1,476,ConfusionMatrix_CART_2018-07-17.csv,CART,2018-07-17,0.9244108492663407,0.9063238793130696,0.8642854983893155
287,0,0,0,0,0,1,0,274,0,0,4,0,0,0,2,278,0,7,0,0,4,0,0,272,4,0,28,0,2,3,0,252,0,0,20,33,75,10,126,43,1,1,0,0,0,2,0,271,ConfusionMatrix_Cons_2018-07-17.csv,Cons,2018-07-17,0.8385,0.8120686269518608,0.8049166952895036
521,0,0,0,1,0,7,0,337,0,0,0,0,0,0,0,391,0,11,1,3,1,0,0,60,1,0,1,3,2,7,0,396,0,3,0,0,1,1,0,4,0,3,0,1,0,3,0,490,ConfusionMatrix_GBT_2018-07-17.csv,GBT,2018-07-17,0.9777678968430413,0.9724275951591242,0.9413488869089534
513,0,0,0,1,0,15,0,334,1,0,2,0,0,0,37,350,0,16,0,3,7,0,0,52,3,0,1,14,53,51,0,282,0,11,1,0,3,0,1,1,0,11,1,11,0,0,0,474,ConfusionMatrix_KNN_2018-07-17.csv,KNN,2018-07-17,0.891951978657181,0.865983916804666,0.8010664413107682
518,0,0,0,2,0,9,0,336,0,0,1,0,0,0,0,388,0,15,0,3,3,0,0,57,2,0,1,6,10,15,0,373,0,7,0,0,1,1,1,3,0,3,0,3,0,7,0,484,ConfusionMatrix_RF_2018-07-17.csv,RF,2018-07-17,0.9599822143174744,0.9503509601610669,0.915890447288065
466,0,0,1,43,0,19,0,332,0,0,5,0,0,0,71,158,0,172,0,5,2,0,0,59,0,1,1,38,14,17,0,341,0,1,1,1,1,0,0,3,0,33,1,42,0,15,0,406,ConfusionMatrix_SVM_2018-07-17.csv,SVM,2018-07-17,0.7847932414406403,0.7336889640469484,0.7687072107285372
498,0,0,4,1,0,6,0,376,1,0,8,0,0,0,0,371,0,8,1,8,1,0,0,48,2,0,0,5,2,7,0,320,0,4,0,0,3,0,0,4,1,7,0,1,1,4,3,458,ConfusionMatrix_CART_2018-08-03.csv,CART,2018-08-03,0.9637714816535068,0.9550543213385588,0.8929297573633931
263,0,0,0,0,0,0,0,329,1,0,3,0,0,0,0,274,0,1,0,2,2,0,0,298,2,1,1,0,0,1,0,201,0,0,11,70,79,10,70,24,27,2,0,5,0,2,0,321,ConfusionMatrix_Cons_2018-08-03.csv,Cons,2018-08-03,0.855,0.830469039554496,0.8051011860686421
509,0,0,0,0,0,0,0,384,1,0,0,0,0,0,0,378,0,1,1,8,1,0,0,49,0,0,1,0,2,2,2,332,0,0,0,0,2,0,0,5,1,1,0,2,1,0,0,470,ConfusionMatrix_GBT_2018-08-03.csv,GBT,2018-08-03,0.9879238272178356,0.9850107616829463,0.9446843869804781
