system:index,mean_chlor_a,system:time_start,.geo
1_20181115D,1.481656705216466,1.54224E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181116D,0.7270727896714065,1.5423264E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181117D,1.3675643650678786,1.5424128E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181118D,0.6581841018909309,1.5424992E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181121D,0.7195603988954904,1.5427584E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181125D,0.9446451512941969,1.543104E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181126D,1.7254855413300658,1.5431904E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181130D,0.49985809151429256,1.543536E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181203D,1.1302770383454124,1.5437952E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181205D,-0.36601855981708215,1.543968E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181209D,2.020586659461605,1.5443136E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181210D,1.121371484082579,1.5444E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181211D,1.6466161885765604,1.5444864E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181213D,0.7942187060164719,1.5446592E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181215D,0.5327220250390629,1.544832E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181224D,0.7152433394047043,1.5456096E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181230D,1.691319082520699,1.546128E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190101D,1.5635067646394314,1.5463008E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190102D,1.4671822325597177,1.5463872E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190103D,1.6195693947632805,1.5464736E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190105D,0.6847017694850938,1.5466464E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190109D,1.1043440562506988,1.546992E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190113D,1.235230800419001,1.5473376E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190114D,1.1104612164962482,1.547424E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190117D,1.0893354992881819,1.5476832E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190118D,0.8461448120589818,1.5477696E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190120D,1.3646987803142447,1.5479424E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190121D,1.4393477886644168,1.5480288E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190129D,1.4113771183278112,1.54872E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190203D,0.5627097465514247,1.549152E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190205D,1.0463813501503958,1.5493248E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190211D,1.7034833190931595,1.5498432E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190212D,1.5716173262346682,1.5499296E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190215D,1.3858582095929497,1.5501888E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190216D,1.4228694842576397,1.5502752E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190217D,1.6333313446704096,1.5503616E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190223D,1.4807902054347473,1.55088E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190224D,1.2882743063181796,1.5509664E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190225D,1.0683164305586792,1.5510528E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190226D,1.0376140329762753,1.5511392E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190227D,1.1502690798490567,1.5512256E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190228D,1.2981088307090087,1.551312E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190303D,-0.11743041257588248,1.5515712E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190304D,2.020586659461605,1.5516576E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190308D,1.7060518144268424,1.5520032E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190309D,-1.0716041477432863,1.5520896E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190310D,0.8666008024138535,1.552176E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190311D,1.3197995398046571,1.5522624E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190317D,1.4822402004919997,1.5527808E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190318D,1.5394052211551372,1.5528672E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190319D,1.5925665723732871,1.5529536E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190321D,2.0003144688852657,1.5531264E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190323D,1.7412958172132893,1.5532992E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190325D,1.3254112119860038,1.553472E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190327D,0.969826827974564,1.5536448E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190329D,1.5445283476848013,1.5538176E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190330D,1.1216883628289949,1.553904E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190331D,1.7743473431087535,1.5539904E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190401D,0.9407106198186935,1.5540768E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190402D,1.5026292921721223,1.5541632E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190406D,1.4831711679135522,1.5545088E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190407D,1.3112511529094215,1.5545952E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190409D,1.7277884907868204,1.554768E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190410D,1.1611905985953928,1.5548544E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190411D,1.104292787108474,1.5549408E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190413D,1.5012264077599655,1.5551136E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190414D,1.0423643896092905,1.5552E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190415D,1.3943731737389298,1.5552864E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190416D,1.600933885017346,1.5553728E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
