system:index,system:time_start,.geo
A2002302,1.035849601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002303,1.035936E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002304,1.036024801E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002305,1.036110001E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002306,1.036197E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002307,1.0362822E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002308,1.036368901E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002309,1.0364544E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002310,1.036541101E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002311,1.036629901E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002312,1.0367151E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002313,1.036802101E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002314,1.036887301E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002315,1.036974001E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002316,1.037059501E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002317,1.0371462E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002318,1.037235001E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002319,1.0373184E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002320,1.037407201E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002321,1.037492401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002322,1.0375791E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002323,1.0376646E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002324,1.037751301E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002325,1.0378368E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002326,1.037923501E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002327,1.0380123E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002328,1.0380975E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002329,1.038184501E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002330,1.038269701E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002331,1.038356401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002332,1.038441901E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002333,1.0385286E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002334,1.038617401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002335,1.0387008E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002336,1.038789601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002337,1.038874801E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002338,1.0389615E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002339,1.039047E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002340,1.039133701E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002341,1.0392192E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002342,1.039305601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002343,1.0393947E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002344,1.0394799E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002345,1.039566901E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002346,1.039652101E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002347,1.039738801E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002348,1.039824301E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002349,1.039911001E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002350,1.039999801E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002351,1.0400832E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002352,1.040172001E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002353,1.040257201E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002354,1.0403439E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002355,1.040429401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002356,1.040516101E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002357,1.0406016E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002358,1.040688001E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002359,1.0407771E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002360,1.0408623E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002361,1.040949301E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002362,1.041034501E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002363,1.041121201E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002364,1.041206701E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002365,1.041293401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003001,1.041382201E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003002,1.041467401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003003,1.041554401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003004,1.041639601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003005,1.0417263E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003006,1.041811801E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003007,1.041898501E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003008,1.041984E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003009,1.042070401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003010,1.0421595E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003011,1.0422447E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003012,1.042331701E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003013,1.042416901E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003014,1.042503601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003015,1.042589101E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003016,1.042675801E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003017,1.042764601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003018,1.042848E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003019,1.042936801E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003020,1.043022001E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003021,1.0431087E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003022,1.043194201E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003023,1.043280901E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003024,1.0433664E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003025,1.043452801E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003026,1.0435419E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003027,1.0436271E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003028,1.043714101E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003029,1.043799301E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003030,1.043886001E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003031,1.043971201E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003032,1.044058201E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003033,1.044144001E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003034,1.044232201E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003035,1.044319201E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003036,1.044404401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003037,1.0444911E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003038,1.044576601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003039,1.044663301E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003040,1.0447488E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003041,1.044835201E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003042,1.0449243E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003043,1.0450095E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003044,1.045096501E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003045,1.0451817E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003046,1.045268401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
